dataset_index,y_true,y_pred,p_fraud,title,company_profile,description,location,industry,required_experience,required_education,employment_type,function,is_error,error_type,error_magnitude
16771,0,1,0.3421259863014267,Urgent Need : Postilion Switch Expert for UAE ,"VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. . We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; Government offerings.","Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Technology Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources,","AE, , ",,,,,,True,false_positive,0.3421259863014267
6279,0,1,0.338812503831002,Payroll Assistant ,,Our client is currently in the middle of a migration to Kronos for their timekeeping and looking for assistance with data entry.This position will require someone witha strong data entry backgroundintermediate to strong excel skillsIt will be an added bonus if you have experience with Kronos and/or working in a payroll environment.We have a number ,"US, CA, Redwood City",,,,Temporary,Human Resources,True,false_positive,0.338812503831002
16679,0,1,0.3358864705204775,Urgent Need : JAVA Developer for Qatar,"VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. . We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; Government offerings.","Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; #URL_6049cb3fe36e28a8da4a0d3b6c5879b010b17ba13e0447f0eb27e28b2c99f67d# offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT C","QA, , ",,,,,,True,false_positive,0.3358864705204775
16697,0,1,0.32732420238971716,Freight Forwarding Sales,,"FREIGHT FORWARDING EXPERIENCE IS A MUST AND REQUIRED! Do NOT apply otherwise!!!BOOK OF BUSINESS IS NOT REQUIRED, WE HONOR NON COMPETE CLAUSES, BUT INDUSTRY EXPERIENCE IS A MUST.EXCELLENT ABOVE INDUSTRY BASE PAY and COMMISSION STRUCTURE.THIS JOB IS FOR THE EXPERIENCED SALES EXECUTIVE WHO WANTS TO BUMP UP THEIR PAY STRUCTURE AND RECEIVE THE EXCELLENT","US, CA, Los Angeles",Logistics and Supply Chain,Mid-Senior level,High School or equivalent,Full-time,Sales,True,false_positive,0.32732420238971716
16686,0,1,0.3253180973084788,Urgent Need : Oracle HRMS Functional Consultant for Bahrain,"VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. . We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; Government offerings.","Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Informatio","BH, , ",,,,,,True,false_positive,0.3253180973084788
14064,0,1,0.32390897317274514,Staff Accountant,,"Description:Research &amp; resolve intercompany reconciling items, Cash application, review and preparation of outsourcer metricsExcellent Excel skills, SAP Experience , work independently, team player, strong communication skills, Accounting background preferred. MUST HAVE AT LEAST 4 YEARS RELATED EXPERIENCERegards,Sagar Patchala| Sunrise Systems ","US, TN, Memphis",Pharmaceuticals,Mid-Senior level,,Contract,Accounting/Auditing,True,false_positive,0.32390897317274514
5244,0,1,0.31904142070800307,Administrative Assistant,"MRSI is a nonprofit organization established in 1977 by a group of parents and professionals as a local alternative to the institutionalization of people with intellectual or emotional disabilities. We provide an array of services from group homes, respite care, affordable housing, homemaker/personal care services, vocational, recreational, and social activities.",       Normal  0          false  false  false    EN-US  X-NONE  X-NONE                                                                                                                                                                                                                                                                                        ,"US, OH, Celina",Nonprofit Organization Management,Mid-Senior level,Unspecified,Full-time,,True,false_positive,0.31904142070800307
7898,0,1,0.3146543410871329,Executive Administrative Assistant,,"The Executive Assistant shall be responsible for providing administrative support services as well as guidance and program supportwithin a variety of administrative, analytical and financial related functions. Executive Assistant is expected to providerecommendations for improvements in administrative processes, data compilations and administrative","US, VA, Arlington",,,,,,True,false_positive,0.3146543410871329
10444,0,1,0.3130018256819776,Medical Receptionist/Scheduler,,"ReGenesis Counseling &amp; Assessment Center-Arlington has an immediate openings for Medical Assistant/Receptionist.  We are looking for  energetic, compassionate, organized and experienced candidates to join our fast-growing team. Bilingual preferred.  Medical office experience required.  Job DescriptionUnder general supervision, schedules appoint","US, TX, Arlington",Hospital & Health Care,Associate,High School or equivalent,Part-time,Administrative,True,false_positive,0.3130018256819776
17383,0,1,0.31133776842774674,Warehouse Office Manager,,"This position provides office support with a variety of clerical and customer service activities and related tasks for the new, Lawrenceville, GA Warehouse location. This position will also be responsible for various warehouse duties.","US, GA, ",Warehousing,,,Full-time,Administrative,True,false_positive,0.31133776842774674
156,0,1,0.31123121455525043,Customer Service Professional - Property Management Industry Exp.,,"Since its founding in 1992, Edgewood Properties has established itself as a leading real estate development and property management company. With corporate headquarters in New Jersey, the company is on a course of growth leading to activities across the nation.  Edgewood Properties is current interviewing for a property management customer service ","US, NJ, Piscataway",Real Estate,Associate,High School or equivalent,Full-time,Customer Service,True,false_positive,0.31123121455525043
6427,0,1,0.3110644984591023,Senior Quant Analyst,"Formed in 2006, Saul&amp;Partners is an executive search consulting firm specialising in talent management for permanent staff and interim consultants. We provide search services for vertical niche markets of Risk Management within Banking, Asset Management, FS and Online Digital Media industries. We search for executives from Business through to Sales, Business Development, Risk (OpRisk/Market/Credit), Treasury, ALM, Balance Sheet Management, Operations and Compliance.Our consultants draw on the expertise of Saul&amp;Partners to ensure we achieve the best job matches in the market.","Senior Quant AnalystOur client is an award winning High-Frequency Prop. Trading firm specializing in trading Fixed Income, Equity, and oil options. They're based in the city, and they're looking for a . Quant Analyst with a very strong academic background and 4-5 years of experience to join their team. ","GB, , ",Financial Services,Associate,Doctorate,Full-time,Financial Analyst,True,false_positive,0.3110644984591023
8134,0,1,0.3078949666448262,ETL Hadoop Developer,,"Position: ETL Hadoop DeveloperLocation: Los Angeles, CA - 00592Duration: 6 months Contract ","US, CA, Los Angeles",Information Technology and Services,Mid-Senior level,,Contract,Information Technology,True,false_positive,0.3078949666448262
16780,0,1,0.306135997327693,Lean Expert  Required for  UAE,"VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. . We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; Government offerings.","Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Informatio","AE, DU, ",,,,,,True,false_positive,0.306135997327693
11625,0,1,0.3060358146861705,Title Insurance: Residential Escrow Assistant -Austin,#URL_e7c9057d5e6f097876436d175031e95669ede4ebaab52b6be0957c837bc98343#,"Well established, well run Title Company in the Austin-Westlake area has a great opportunity for a Residential Escrow Assistant.(minimum of 2 yrs experience required)The Residential Escrow Assistant maintains ownership and customer support through-out the life of a file. Additional duties include new contract/order data review and entry. The escrow","US, TX, Austin",Real Estate,Associate,,Full-time,,True,false_positive,0.3060358146861705
16971,0,1,0.30491013792107385,Customer Service - Work From Home,,Do you have 1+ year of customer service/call center experience? Are you looking for flexibility in scheduling and the availability to work from home? We are currently hiring customer service agents with flexible scheduling and you can work from anywhere! This is not a sales position and you do not make outbound calls. Calls you will be taking will ,"US, GA, ",Consumer Services,Entry level,High School or equivalent,Contract,Customer Service,True,false_positive,0.30491013792107385
4479,0,1,0.30049314113515724,Controls Engineer- Programming & Debug of PLC- Automotive Environment,,Job Description:Full time long term contract opening requires candidate to do programming and debugging of PLC Controls in an automotive environment. Experience on Allen Bradley Controls &amp; Control Logix is required. Some travel will be required.Salary:COMPENSATION IS NEGOTIABLE along with full benefits and overtime. ,"US, , ",,,,,,True,false_positive,0.30049314113515724
8223,0,1,0.2899187342167951,Administrative Assistant,Hiring made easy for Digital Jobs,"About the JobWe are a law firm based in Port Louis seeking a candidate with strong administrative background and with some Accounting experience. We are looking for someone with a pleasant attitude to greet customers, detailed conscious to ensure all administrative work is done to perfection.This position is from Monday to Friday with work hours fr","MU, PL, ",Law Practice,Entry level,High School or equivalent,Full-time,Administrative,True,false_positive,0.2899187342167951
14432,0,1,0.2892873632795579,Administrative Assistant,"De Novo Group is a non-profit organization based out of Berkeley and backed by Google and federal grants.  We turn cutting-edge research into sustainable solutions to impact developing communities in the US and abroad, and to expand human rights in oppressive regimes.We are a small and nimble multi-disciplinary team and operate like a typical startup. Our office is located on the beautiful UC Berkeley campus but we are also flexible and mostly work remotely from home or the friendly neighborhood cafe.","De Novo Group is a non-profit organization based out of Berkeley and backed by Google and federal grants.  We turn cutting-edge research into sustainable solutions to impact developing communities in the US and abroad, and to expand human rights in oppressive regimes.We are seeking applicants for an administrative assistant to join our exciting tea","US, CA, Berkeley",Nonprofit Organization Management,Associate,Associate Degree,Contract,Administrative,True,false_positive,0.2892873632795579
4933,0,1,0.28846603539164883,Cold Calling - Part-Time,,"Ron Christopher Co., Inc. (RCC) is a Mergers and Acquistions firm that helps buyers and sellers of independent insurance agencies.  We are currently seeking a part-time invididual to make cold calls to insurance agency owners.  You can work from  your own home office or from our office in the New Albany/Gahanna area of Columbus.  To start, RCC is s","US, OH, Columbus",Insurance,Associate,High School or equivalent,Part-time,Sales,True,false_positive,0.28846603539164883
4435,0,1,0.2867921624376794,Direct Sales People,,"We are about to launch a new Discount Voucher Website and are looking for sales people to promote it direct to local businesses etc. This position can be either full time or part time, working hours that suit you. The job involves visiting local shops &amp; busineses and getting them to list a 'discount voucher' on our website. You will earn £25 pe","GB, , ",,,,,,True,false_positive,0.2867921624376794
3658,0,1,0.2828405810076983,"Simatic IT MES (Detroit, MI) - Teamcenter Consultant (Houston, TX) - PDMLink (Cincinnati, OH)",,"I am hiring for many positions as mentioned below:Simatic IT MES - Detroit. Michigan, USA -Teamcenter Consultant - Houston, Texas -PDMLink Migration Project - Cincinnati OH -Mechanical Engineers, Technicians for Multiple Location in USA -Send Resume to #EMAIL_b8a051ea2c0573b136b1efaa1a87613a2b12b97c41b5d98ca215fb7349ee4653#Regards;&nbsp;  Prashant ","US, , ",,,,,,True,false_positive,0.2828405810076983
999,0,1,0.2798313935558087,Bookeeper/Supply Manager,,"Full time Bookkeeper for local Southampton energy firm with proven QuickBooks 2013 experience in all aspects of accounting. A/R, A/P, General Ledger, reconciliations / reports, purchase orders, and other office responsibilities.  Supply planning experience a plus.  Please only apply if you have heavy Quickbooks experience.Send resume with salary re","US, NY, Southampton",Environmental Services,Associate,,Full-time,Accounting/Auditing,True,false_positive,0.2798313935558087
228,0,1,0.2790907641354181,Telesales ,,"This is a fantastic opportunity for the right people who have the ability to really push themselves and remain focused on the job. This is a one off posting for this job so don't miss the boat!! Our advisers will not only earn excellent commissions but will also enjoy what they are doing, This is not your typical sales job where you dread the getti","GB, LIN, grimsby",Market Research,Not Applicable,Unspecified,Full-time,Advertising,True,false_positive,0.2790907641354181
1157,0,1,0.2770442952661768,Finance Assistant,,"Our Company has a new position available for an experienced Finance Assistant wishing to join a successful stable organisation.Elements of these roles may include:* Financial &amp; Business analysis and modelling, particularly cash flow;* provides assurance about the accuracy of information contained in financial reports and their compliance with s","AU, NSW, Sydney",,,,,,True,false_positive,0.2770442952661768
12059,0,1,0.27575363928675695,Project Manager - R&D (Medical/Healthcare),,"Qualifications:Candidates must have medical device R&amp;D experience.Advanced MS Project skills, experience with Project Server, MS Office (Word, Excel, PowerPoint).Excellent communication skills.PMP Certification preferred.Minimum of 10 years of project management and/or project scheduling.Must have had primary responsibility for a multi-project ","US, NJ, Franklin Lakes",Medical Devices,Mid-Senior level,Bachelor's Degree,Contract,Project Management,True,false_positive,0.27575363928675695
1200,0,1,0.27463519881635423,Casual/Part-Time Position,,Our International Company is seeking an active employee. We give a work for everybody.Part-Time $430 per a week.Basic characteristics:· Energy· Enthusiasm· Willingness to learn· Strong work ethic· ReliabilityWe are looking forward for your CV with your full name and e-mail. #EMAIL_00e35a10817c0d8e20fb7b138204884f53bb960cf21350f2232d5cb7cd8ff070#,"AU, NSW, Sydney",,,,,,True,false_positive,0.27463519881635423
8756,0,1,0.2733053009891746,Service Ambassadors,Hiring made easy for Digital Jobs,We are currently recruiting for our ON-CALL program for Service Agents.You will join a team of young talents where you will benefit from:Formal Training in Customer Service and Technology ProcessPaid program when called to replace existing team members.You will more importantly be first in line when we request for full-time Service Agent position,"MU, QB, Ebene",Information Technology and Services,Entry level,High School or equivalent,Contract,Customer Service,True,false_positive,0.2733053009891746
6890,0,1,0.27296516577523827,ACCOUNTING ASSISTANT,,Perform all accounting and tax transaction for a full accounting system company,"GR, I, KIFISSIA",Pharmaceuticals,Entry level,Bachelor's Degree,Full-time,Accounting/Auditing,True,false_positive,0.27296516577523827
6742,0,1,0.2685735136451132,Customer Service Representative,"Since 2005, Allied Secured Benefits, a leading financial planning and insurance brokerage company, has helped thousands of clients secure their financial futures.Headquartered in Denver, Colorado, Allied Secured Benefits is an independent financial agency representing more than 20 insurance and investment companies.Allied Secured Benefits operates in more than a dozen states, and is a one-stop shop for a wide range of financial products, and is an industry expert in Protection Insurance.First located in Georgia, Allied Secured Benefits relocated to Denver, Colorado in 2012, where it continued to grow its network of agents and brokers throughout the country, as well as, add dozens of products and insurance carriers to its repertoire.Heather Carr-DavisRegional Recruiting Manager","If you are passionate about helping people, you may be a good fit for our Customer Service Representative position. As a Customer Service Representative for Allied Secured Benefits, you will help manage Customer Accounts, respond to email inquiries, and help Customers sign up for the service that best suits their needs. This is a telecommute positi","US, IL, Chicago",Insurance,Entry level,High School or equivalent,Full-time,Customer Service,True,false_positive,0.2685735136451132
6790,0,1,0.2670416451009436,Customer Service Representative,"Since 2005, Allied Secured Benefits, a leading financial planning and insurance brokerage company, has helped thousands of clients secure their financial futures.Headquartered in Denver, Colorado, Allied Secured Benefits is an independent financial agency representing more than 20 insurance and investment companies.Allied Secured Benefits operates in more than a dozen states, and is a one-stop shop for a wide range of financial products, and is an industry expert in Protection Insurance.First located in Georgia, Allied Secured Benefits relocated to Denver, Colorado in 2012, where it continued to grow its network of agents and brokers throughout the country, as well as, add dozens of products and insurance carriers to its repertoire.Heather Carr-DavisRegional Recruiting Manager","If you are passionate about helping people, you may be a good fit for our Customer Service Representative position. As a Customer Service Representative for Allied Secured Benefits, you will help manage Customer Accounts, respond to email inquiries, and help Customers sign up for the service that best suits their needs. This is a telecommute positi","US, GA, Atlanta",Insurance,Entry level,High School or equivalent,Full-time,Customer Service,True,false_positive,0.2670416451009436
16972,0,1,0.266165386463219,Data Architect,,"Job Title:    Data ArchitectLocation:    NYC, NY Duration:     6+ Months Contract Job Description:    Be part of a team designing business and technology solutions.Regularly launch products and services based on your work and be a creative and integral part of making these a success.Elicit requirements and prioritize them with a wider team.Guide, i","US, , ",,,,Contract,,True,false_positive,0.266165386463219
16685,0,1,0.26392725844764564,Immediate Opening : Dotnet Developer ,"VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. . We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; Government offerings.","Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. . We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Informat","AE, DU, Dubai",,,,,,True,false_positive,0.26392725844764564
16996,0,1,0.26206826553589896,EXCELLENT ER RN Opportunity Available Now,,"Our client, located in Urban, IL, is looking for an ER RN to become a member of their team ASAP!Our client is an institution of high quality care, medical research, and education. They serve people. Our client is a healthcare leader in central Illinois as a level 1 trauma center and 345 - bed Magnet hospital. Our client’s employees reflect the orga","US, IL, Urbana",Hospital & Health Care,,,Full-time,Health Care Provider,True,false_positive,0.26206826553589896
12796,0,1,0.2607866884820917,Receptionist,"Century 21 Martinez &amp; Associates has been in the Real Estate business for over 14 years. We are the number one ranked Century 21 Office for the South West Region which is comprised of 4 states and 52 offices. We do all of this with 50 agents, a professional courteous staff and a dedication to excellence. Our office staff and agents are of a diverse background which brings a different perspective to projects and challenges and also makes it a great place to work! All qualified applicants are encouraged to apply.","Our ideal candidate will be professional, with exceptional customer service skills and a passion for helping people. A successful candidate will also be collaborative, reliable, detail oriented and organized with the ability to maintain order in a dynamic environment.Duties will include but are not limited to:Answering phonesInformation and referra","US, NV, Las vegas",Real Estate,Not Applicable,High School or equivalent,Full-time,Administrative,True,false_positive,0.2607866884820917
13085,0,1,0.25915939170230223,Bilingual Products and Services Coordinator II,,"MUST BE BILINGUAL (English/Spanish)Provide excellent customer service to internal and external customers as well as able to perform back office data entry functions. Direct phone communication with external customers and internal departments, assuring that customer’s needs are met while exceeding expectations. Position shares responsibility for acc","US, FL, St. Petersburg",,,,,,True,false_positive,0.25915939170230223
3988,0,1,0.2560363479197154,Part-Time Sales Referral Positions,,A national website design and marketing company is looking for self managed and highly motivated people who are interested in set your own hours.  My48HourWebsite creates and manages websites for small businesses.  We are looking for representation throughout the United States.  You will identify opportunities for us to persue. We provide a complet,"US, , City",Consumer Services,Entry level,High School or equivalent,Part-time,Sales,True,false_positive,0.2560363479197154
